epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
191,0.77705,0.9406,0.58377,0.8825,0.46863,0.85909,0.40716,0.8523,0.38725,0.85166
192,0.76661,0.93969,0.57727,0.88406,0.46433,0.8625,0.40181,0.85624,0.37849,0.85054
193,0.74959,0.93457,0.56497,0.88137,0.45964,0.86121,0.40605,0.85889,0.37696,0.84915
194,0.75242,0.93625,0.56415,0.88003,0.45132,0.85738,0.39539,0.85175,0.37081,0.84462
195,0.76811,0.94813,0.57639,0.88665,0.46871,0.86098,0.40309,0.85205,0.38785,0.84575
196,0.76946,0.94283,0.58548,0.88341,0.45743,0.86036,0.40154,0.85658,0.37869,0.85252
197,0.74781,0.93276,0.56542,0.87724,0.46824,0.86372,0.41357,0.85783,0.38696,0.8499
198,0.76855,0.94038,0.58022,0.88019,0.45972,0.85971,0.40307,0.853,0.37948,0.84915
199,0.76177,0.93935,0.5742,0.88034,0.45419,0.85483,0.3937,0.84728,0.37208,0.8432
200,0.74684,0.93565,0.561,0.88139,0.44928,0.85327,0.39319,0.84676,0.37066,0.84564
201,0.75864,0.9386,0.57334,0.88062,0.45382,0.85767,0.39785,0.84911,0.37175,0.84436
202,0.75453,0.93211,0.56783,0.87333,0.45745,0.85844,0.40076,0.85501,0.37611,0.84727
203,0.73974,0.92968,0.55395,0.87345,0.44717,0.85413,0.39173,0.8456,0.37037,0.8412
204,0.75862,0.93663,0.57029,0.87893,0.43912,0.85498,0.385,0.84541,0.36629,0.84686
205,0.75127,0.93359,0.57388,0.87764,0.45074,0.85518,0.3973,0.84955,0.37314,0.84873
206,0.74771,0.93168,0.55897,0.87467,0.44024,0.85695,0.39995,0.85292,0.3694,0.84947
207,0.76369,0.94062,0.56712,0.88051,0.44903,0.86158,0.38532,0.85004,0.36541,0.84551
208,0.7472,0.93381,0.56246,0.87551,0.44675,0.85589,0.39006,0.84854,0.3674,0.84264
209,0.76462,0.94121,0.56999,0.87941,0.44518,0.85565,0.38619,0.84583,0.3563,0.84033
210,0.73401,0.93233,0.5527,0.87696,0.44909,0.85577,0.39474,0.85158,0.3704,0.8449
211,0.72671,0.9227,0.54849,0.8694,0.44468,0.8619,0.38663,0.85448,0.36293,0.84934
212,0.73915,0.93804,0.57427,0.88713,0.44983,0.85825,0.40164,0.85124,0.36994,0.84288
213,0.75249,0.93221,0.56784,0.87773,0.43656,0.8533,0.38133,0.84475,0.35825,0.83831
214,0.74756,0.93733,0.56159,0.88047,0.45194,0.86194,0.39316,0.85656,0.36811,0.84718
215,0.73023,0.92825,0.54987,0.87284,0.43965,0.85282,0.38037,0.84563,0.35608,0.83695
216,0.74439,0.93298,0.56146,0.87978,0.44647,0.86122,0.38702,0.85199,0.36593,0.8461
217,0.73707,0.93305,0.55451,0.87518,0.43926,0.85496,0.38121,0.84282,0.35631,0.83667
218,0.76075,0.93811,0.55684,0.87669,0.44016,0.85469,0.38114,0.84714,0.35985,0.83972
219,0.73919,0.93256,0.55626,0.87828,0.43285,0.85287,0.37885,0.84593,0.35667,0.8392
220,0.73199,0.93085,0.55383,0.87778,0.44352,0.85878,0.38782,0.8507,0.36175,0.84201
221,0.74616,0.9321,0.55677,0.87599,0.43885,0.85389,0.39043,0.84839,0.36454,0.83942
222,0.73285,0.92978,0.55004,0.87538,0.42992,0.85057,0.37914,0.84256,0.35674,0.83872
223,0.74281,0.93009,0.5515,0.87293,0.42975,0.85464,0.37999,0.84862,0.35771,0.84138
224,0.74305,0.93643,0.55348,0.8778,0.43439,0.85593,0.37526,0.84793,0.35452,0.84089
225,0.72935,0.927,0.54809,0.87379,0.43061,0.85236,0.37913,0.84699,0.35904,0.84257
226,0.74806,0.93359,0.55286,0.87285,0.42854,0.85303,0.37468,0.84367,0.34324,0.83457
227,0.74562,0.94122,0.55131,0.88002,0.43682,0.8578,0.386,0.85184,0.35826,0.84274
228,0.72736,0.92576,0.53865,0.86993,0.44874,0.85821,0.38268,0.84859,0.36647,0.84334
229,0.73899,0.93436,0.54213,0.87399,0.42763,0.84599,0.3762,0.8397,0.35653,0.83439
230,0.72716,0.92967,0.53029,0.87063,0.44036,0.85105,0.38324,0.84363,0.36121,0.8382
231,0.74248,0.93943,0.54316,0.87793,0.42881,0.85105,0.36869,0.84311,0.34854,0.83454
232,0.72941,0.92773,0.54073,0.87101,0.4221,0.85108,0.36986,0.84174,0.34512,0.83699
233,0.72315,0.92538,0.53818,0.86651,0.42763,0.85052,0.37624,0.84248,0.35182,0.83876
234,0.7324,0.9309,0.54225,0.86986,0.42464,0.84537,0.36778,0.83522,0.34248,0.83031
235,0.72533,0.92944,0.54281,0.87284,0.43815,0.8523,0.37233,0.84299,0.35447,0.83775
236,0.74196,0.93399,0.54467,0.87419,0.42024,0.8464,0.36566,0.84099,0.34476,0.83357
237,0.73121,0.92691,0.53934,0.87105,0.42922,0.85261,0.37531,0.8476,0.35104,0.83965
238,0.72952,0.92767,0.54238,0.87176,0.42372,0.854,0.36595,0.84491,0.34169,0.83755
239,0.73234,0.92901,0.55297,0.87241,0.41839,0.84627,0.36452,0.83806,0.34322,0.83218
240,0.71827,0.92541,0.53533,0.87015,0.42837,0.85398,0.37401,0.84692,0.34855,0.83902
241,0.72973,0.92391,0.53757,0.86675,0.43865,0.85952,0.38142,0.8533,0.35832,0.84549
242,0.73366,0.93042,0.54763,0.87615,0.4213,0.8468,0.36559,0.84012,0.34768,0.83574
243,0.72351,0.92636,0.54211,0.87444,0.41802,0.83891,0.3711,0.8383,0.34308,0.83186
244,0.72637,0.92286,0.53657,0.86865,0.43348,0.85091,0.37576,0.84299,0.34953,0.83711
245,0.71258,0.92494,0.5306,0.86731,0.42333,0.8485,0.36475,0.84193,0.34242,0.83492
246,0.72766,0.92553,0.5378,0.86685,0.41742,0.8471,0.36457,0.83863,0.34389,0.83231
247,0.71977,0.92156,0.52592,0.86564,0.41895,0.84807,0.36396,0.84158,0.34706,0.83354
248,0.72419,0.92281,0.54245,0.87177,0.41355,0.84481,0.36162,0.83778,0.33691,0.83027
249,0.69902,0.91575,0.52088,0.8655,0.42218,0.84962,0.36406,0.84094,0.33596,0.83454
250,0.71714,0.93147,0.53051,0.87581,0.41369,0.84694,0.36625,0.84072,0.34283,0.83437
251,0.70726,0.9206,0.52267,0.86682,0.42342,0.84832,0.36039,0.83933,0.3442,0.83463
252,0.72779,0.92559,0.54088,0.86974,0.41592,0.84458,0.36706,0.83912,0.33967,0.83003
253,0.7313,0.93126,0.54024,0.87597,0.41602,0.85014,0.36613,0.8424,0.34443,0.83728
254,0.72563,0.92771,0.53227,0.87097,0.41953,0.84866,0.36735,0.84195,0.34472,0.8364
255,0.71084,0.92879,0.51989,0.86764,0.41184,0.84626,0.3514,0.83376,0.33518,0.83031
256,0.71425,0.92116,0.52651,0.86685,0.41592,0.84732,0.36061,0.83749,0.33856,0.83126
257,0.70355,0.92044,0.51785,0.86679,0.41489,0.84676,0.35975,0.83869,0.33983,0.83457
258,0.69883,0.91885,0.52071,0.86675,0.40545,0.8469,0.35845,0.83972,0.33665,0.83538
259,0.71175,0.92393,0.51946,0.86561,0.41545,0.84759,0.36247,0.84172,0.33468,0.83374
260,0.72016,0.9248,0.52098,0.86556,0.41924,0.85256,0.36133,0.83894,0.33943,0.83689
261,0.71867,0.92216,0.53031,0.86777,0.41693,0.85124,0.36706,0.84166,0.33863,0.83693
262,0.71297,0.92371,0.52719,0.86742,0.41068,0.84251,0.36446,0.83615,0.33501,0.83119
263,0.71327,0.91818,0.52096,0.86202,0.41302,0.85081,0.35635,0.83614,0.33408,0.83392
